kelompok_kbli_kode,kategori_kbli_kode
01111,A
01112,A
01113,A
01114,A
01115,A
01116,A
01117,A
01118,A
01119,A
01121,A
01122,A
01131,A
01132,A
01133,A
01134,A
01135,A
01136,A
01137,A
01139,A
01140,A
01150,A
01160,A
01191,A
01192,A
01193,A
01194,A
01199,A
01210,A
01220,A
01230,A
01240,A
01251,A
01252,A
01253,A
01259,A
01261,A
01262,A
01269,A
01270,A
01281,A
01282,A
01283,A
01284,A
01285,A
01286,A
01287,A
01289,A
01291,A
01299,A
01301,A
01302,A
01411,A
01412,A
01413,A
01414,A
01420,A
01430,A
01441,A
01442,A
01443,A
01444,A
01445,A
01450,A
01461,A
01462,A
01463,A
01464,A
01465,A
01466,A
01467,A
01468,A
01469,A
01491,A
01492,A
01493,A
01494,A
01495,A
01496,A
01497,A
01499,A
01611,A
01612,A
01613,A
01614,A
01619,A
01621,A
01622,A
01623,A
01629,A
01630,A
01640,A
01711,A
01712,A
01713,A
01714,A
01715,A
01719,A
01721,A
01722,A
01723,A
01724,A
01725,A
01726,A
01727,A
01729,A
02111,A
02112,A
02113,A
02119,A
02121,A
02122,A
02130,A
02140,A
02201,A
02202,A
02209,A
02301,A
02302,A
02303,A
02304,A
02305,A
02306,A
02307,A
02308,A
02309,A
02401,A
02402,A
02403,A
02404,A
02409,A
03111,A
03112,A
03113,A
03114,A
03115,A
03116,A
03117,A
03118,A
03119,A
03121,A
03122,A
03123,A
03124,A
03125,A
03126,A
03129,A
03131,A
03132,A
03133,A
03141,A
03142,A
03143,A
03151,A
03152,A
03153,A
03154,A
03155,A
03156,A
03157,A
03158,A
03159,A
03211,A
03212,A
03213,A
03214,A
03215,A
03216,A
03217,A
03219,A
03221,A
03222,A
03223,A
03224,A
03225,A
03226,A
03227,A
03229,A
03231,A
03232,A
03233,A
03241,A
03242,A
03243,A
03251,A
03252,A
03253,A
03254,A
03255,A
03259,A
03261,A
03262,A
03263,A
03271,A
03272,A
03273,A
03274,A
03275,A
03276,A
03277,A
03278,A
03279,A
05100,B
05200,B
06100,B
06201,B
06202,B
07101,B
07102,B
07210,B
07291,B
07292,B
07293,B
07294,B
07295,B
07296,B
07299,B
07301,B
07309,B
08101,B
08102,B
08103,B
08104,B
08105,B
08106,B
08107,B
08108,B
08109,B
08911,B
08912,B
08913,B
08914,B
08915,B
08919,B
08920,B
08930,B
08991,B
08992,B
08993,B
08994,B
08995,B
08999,B
09100,B
09900,B
10110,C
10120,C
10130,C
10211,C
10212,C
10213,C
10214,C
10215,C
10216,C
10217,C
10219,C
10221,C
10222,C
10291,C
10292,C
10293,C
10294,C
10295,C
10296,C
10297,C
10298,C
10299,C
10311,C
10312,C
10313,C
10314,C
10320,C
10330,C
10391,C
10392,C
10393,C
10399,C
10411,C
10412,C
10413,C
10414,C
10415,C
10421,C
10422,C
10423,C
10424,C
10431,C
10432,C
10433,C
10434,C
10435,C
10436,C
10437,C
10490,C
10510,C
10520,C
10531,C
10532,C
10590,C
10611,C
10612,C
10613,C
10614,C
10615,C
10616,C
10621,C
10622,C
10623,C
10629,C
10631,C
10632,C
10633,C
10634,C
10635,C
10636,C
10710,C
10721,C
10722,C
10723,C
10729,C
10731,C
10732,C
10733,C
10734,C
10739,C
10740,C
10750,C
10761,C
10762,C
10763,C
10771,C
10772,C
10773,C
10774,C
10779,C
10791,C
10792,C
10793,C
10794,C
10795,C
10796,C
10799,C
10801,C
10802,C
11010,C
11020,C
11031,C
11032,C
11040,C
11051,C
11052,C
11090,C
12011,C
12012,C
12013,C
12019,C
12091,C
12099,C
13111,C
13112,C
13113,C
13121,C
13122,C
13123,C
13131,C
13132,C
13133,C
13134,C
13911,C
13912,C
13913,C
13921,C
13922,C
13923,C
13924,C
13925,C
13926,C
13929,C
13930,C
13941,C
13942,C
13991,C
13992,C
13993,C
13994,C
13995,C
13996,C
13999,C
14111,C
14112,C
14120,C
14131,C
14132,C
14200,C
14301,C
14302,C
14303,C
15111,C
15112,C
15113,C
15114,C
15121,C
15122,C
15123,C
15129,C
15201,C
15202,C
15203,C
15209,C
16101,C
16102,C
16103,C
16104,C
16105,C
16211,C
16212,C
16213,C
16214,C
16215,C
16221,C
16222,C
16230,C
16291,C
16292,C
16293,C
16294,C
16295,C
16299,C
17011,C
17012,C
17013,C
17014,C
17019,C
17021,C
17022,C
17091,C
17099,C
18111,C
18112,C
18113,C
18120,C
18201,C
18202,C
19100,C
19211,C
19212,C
19213,C
19214,C
19291,C
19292,C
20111,C
20112,C
20113,C
20114,C
20115,C
20116,C
20117,C
20118,C
20119,C
20121,C
20122,C
20123,C
20124,C
20125,C
20126,C
20127,C
20128,C
20129,C
20131,C
20132,C
20211,C
20212,C
20213,C
20214,C
20221,C
20222,C
20223,C
20231,C
20232,C
20233,C
20234,C
20291,C
20292,C
20293,C
20294,C
20295,C
20296,C
20299,C
20301,C
20302,C
21011,C
21012,C
21013,C
21014,C
21015,C
21021,C
21022,C
21023,C
21024,C
22111,C
22112,C
22121,C
22122,C
22123,C
22191,C
22192,C
22193,C
22194,C
22199,C
22210,C
22220,C
22230,C
22291,C
22292,C
22293,C
22299,C
23111,C
23112,C
23119,C
23121,C
23122,C
23123,C
23124,C
23129,C
23911,C
23919,C
23921,C
23922,C
23923,C
23929,C
23931,C
23932,C
23933,C
23939,C
23941,C
23942,C
23943,C
23951,C
23952,C
23953,C
23954,C
23955,C
23956,C
23957,C
23959,C
23961,C
23962,C
23963,C
23969,C
23990,C
24101,C
24102,C
24103,C
24201,C
24202,C
24203,C
24204,C
24205,C
24206,C
24310,C
24320,C
25111,C
25112,C
25113,C
25119,C
25120,C
25130,C
25200,C
25910,C
25920,C
25931,C
25932,C
25933,C
25934,C
25940,C
25951,C
25952,C
25991,C
25992,C
25993,C
25994,C
25995,C
25999,C
26110,C
26120,C
26210,C
26220,C
26310,C
26320,C
26391,C
26399,C
26410,C
26420,C
26490,C
26511,C
26512,C
26513,C
26514,C
26520,C
26601,C
26602,C
26710,C
26791,C
26792,C
26800,C
27111,C
27112,C
27113,C
27120,C
27201,C
27202,C
27203,C
27310,C
27320,C
27330,C
27401,C
27402,C
27403,C
27404,C
27409,C
27510,C
27520,C
27530,C
27900,C
28111,C
28112,C
28113,C
28120,C
28130,C
28140,C
28151,C
28152,C
28160,C
28171,C
28172,C
28173,C
28174,C
28179,C
28180,C
28191,C
28192,C
28193,C
28199,C
28210,C
28221,C
28222,C
28223,C
28224,C
28230,C
28240,C
28250,C
28261,C
28262,C
28263,C
28264,C
28265,C
28291,C
28292,C
28299,C
29101,C
29102,C
29200,C
29300,C
30111,C
30112,C
30113,C
30120,C
30200,C
30300,C
30400,C
30911,C
30912,C
30921,C
30922,C
30990,C
31001,C
31002,C
31003,C
31004,C
31009,C
32111,C
32112,C
32113,C
32114,C
32115,C
32119,C
32120,C
32201,C
32202,C
32300,C
32401,C
32402,C
32501,C
32502,C
32503,C
32509,C
32901,C
32902,C
32903,C
32904,C
32905,C
32906,C
32907,C
32909,C
33111,C
33112,C
33119,C
33121,C
33122,C
33131,C
33132,C
33133,C
33141,C
33142,C
33149,C
33151,C
33152,C
33153,C
33159,C
33190,C
33200,C
35111,D
35112,D
35113,D
35114,D
35115,D
35116,D
35117,D
35118,D
35121,D
35122,D
35129,D
35201,D
35202,D
35203,D
35301,D
35302,D
36001,E
36002,E
36003,E
37011,E
37012,E
37021,E
37022,E
38110,E
38120,E
38211,E
38212,E
38220,E
38301,E
38302,E
39000,E
41011,F
41012,F
41013,F
41014,F
41015,F
41016,F
41017,F
41018,F
41019,F
41020,F
42101,F
42102,F
42103,F
42104,F
42201,F
42202,F
42203,F
42204,F
42205,F
42206,F
42207,F
42209,F
42911,F
42912,F
42913,F
42914,F
42915,F
42916,F
42917,F
42918,F
42919,F
42921,F
42922,F
42923,F
42924,F
42929,F
42930,F
43110,F
43120,F
43211,F
43212,F
43213,F
43214,F
43215,F
43216,F
43221,F
43222,F
43223,F
43224,F
43291,F
43292,F
43293,F
43294,F
43299,F
43301,F
43302,F
43303,F
43304,F
43305,F
43309,F
43901,F
43902,F
43903,F
43904,F
43905,F
43909,F
45101,G
45102,G
45103,G
45104,G
45201,G
45202,G
45301,G
45302,G
45401,G
45402,G
45403,G
45404,G
45405,G
45406,G
45407,G
46100,G
46201,G
46202,G
46203,G
46204,G
46205,G
46206,G
46207,G
46208,G
46209,G
46311,G
46312,G
46313,G
46314,G
46315,G
46319,G
46321,G
46322,G
46323,G
46324,G
46325,G
46326,G
46327,G
46329,G
46331,G
46332,G
46333,G
46334,G
46335,G
46339,G
46411,G
46412,G
46413,G
46414,G
46419,G
46421,G
46422,G
46430,G
46441,G
46442,G
46443,G
46444,G
46445,G
46446,G
46447,G
46448,G
46491,G
46492,G
46493,G
46494,G
46495,G
46499,G
46511,G
46512,G
46521,G
46522,G
46523,G
46530,G
46591,G
46592,G
46593,G
46594,G
46599,G
46610,G
46620,G
46631,G
46632,G
46633,G
46634,G
46635,G
46636,G
46637,G
46638,G
46639,G
46641,G
46642,G
46643,G
46651,G
46652,G
46653,G
46654,G
46691,G
46692,G
46693,G
46694,G
46695,G
46696,G
46699,G
46900,G
47111,G
47112,G
47191,G
47192,G
47211,G
47212,G
47213,G
47214,G
47215,G
47216,G
47219,G
47221,G
47222,G
47230,G
47241,G
47242,G
47243,G
47244,G
47245,G
47249,G
47301,G
47302,G
47303,G
47411,G
47412,G
47413,G
47414,G
47415,G
47420,G
47511,G
47512,G
47513,G
47521,G
47522,G
47523,G
47524,G
47525,G
47526,G
47527,G
47528,G
47529,G
47530,G
47591,G
47592,G
47593,G
47594,G
47595,G
47596,G
47597,G
47599,G
47611,G
47612,G
47620,G
47630,G
47640,G
47650,G
47711,G
47712,G
47713,G
47714,G
47721,G
47722,G
47723,G
47724,G
47725,G
47726,G
47727,G
47728,G
47729,G
47731,G
47732,G
47733,G
47734,G
47735,G
47736,G
47737,G
47739,G
47741,G
47742,G
47743,G
47744,G
47745,G
47746,G
47749,G
47751,G
47752,G
47753,G
47754,G
47761,G
47762,G
47763,G
47764,G
47771,G
47772,G
47773,G
47774,G
47779,G
47781,G
47782,G
47783,G
47784,G
47785,G
47789,G
47791,G
47792,G
47793,G
47794,G
47795,G
47796,G
47797,G
47811,G
47812,G
47813,G
47814,G
47815,G
47816,G
47819,G
47821,G
47822,G
47823,G
47824,G
47825,G
47826,G
47827,G
47828,G
47829,G
47831,G
47832,G
47833,G
47834,G
47841,G
47842,G
47843,G
47844,G
47845,G
47846,G
47849,G
47851,G
47852,G
47853,G
47854,G
47855,G
47859,G
47861,G
47862,G
47863,G
47864,G
47865,G
47866,G
47867,G
47869,G
47871,G
47872,G
47873,G
47874,G
47875,G
47876,G
47877,G
47879,G
47881,G
47882,G
47883,G
47891,G
47892,G
47893,G
47894,G
47895,G
47896,G
47897,G
47899,G
47911,G
47912,G
47913,G
47914,G
47919,G
47920,G
47991,G
47992,G
47993,G
47994,G
47995,G
47996,G
47997,G
47998,G
47999,G
49110,H
49120,H
49211,H
49212,H
49213,H
49214,H
49215,H
49216,H
49219,H
49221,H
49229,H
49300,H
49411,H
49412,H
49413,H
49414,H
49415,H
49419,H
49421,H
49422,H
49423,H
49424,H
49425,H
49426,H
49429,H
49431,H
49432,H
49433,H
49441,H
49442,H
49450,H
50111,H
50112,H
50113,H
50114,H
50121,H
50122,H
50131,H
50132,H
50133,H
50134,H
50135,H
50141,H
50142,H
50143,H
50211,H
50212,H
50213,H
50214,H
50215,H
50216,H
50217,H
50218,H
50219,H
50221,H
50222,H
50223,H
50224,H
50225,H
50226,H
50227,H
50228,H
50229,H
51101,H
51102,H
51103,H
51104,H
51105,H
51106,H
51107,H
51108,H
51109,H
51201,H
51202,H
51203,H
51204,H
52101,H
52102,H
52103,H
52104,H
52105,H
52106,H
52107,H
52108,H
52109,H
52211,H
52212,H
52213,H
52214,H
52215,H
52219,H
52221,H
52222,H
52223,H
52224,H
52225,H
52229,H
52231,H
52232,H
52240,H
52291,H
52292,H
52293,H
52294,H
52295,H
52296,H
52297,H
52298,H
52299,H
53100,H
53201,H
53202,H
55110,I
55120,I
55130,I
55191,I
55192,I
55193,I
55194,I
55199,I
55900,I
56101,I
56102,I
56103,I
56104,I
56109,I
56210,I
56290,I
56301,I
56302,I
56303,I
56304,I
56305,I
56306,I
58110,J
58120,J
58130,J
58190,J
58200,J
59111,J
59112,J
59121,J
59122,J
59131,J
59132,J
59140,J
59201,J
59202,J
60101,J
60102,J
60201,J
60202,J
61100,J
61200,J
61300,J
61911,J
61912,J
61913,J
61914,J
61919,J
61921,J
61922,J
61923,J
61924,J
61929,J
61991,J
61992,J
61993,J
61994,J
61999,J
62011,J
62012,J
62013,J
62014,J
62015,J
62019,J
62021,J
62022,J
62023,J
62024,J
62029,J
62090,J
63111,J
63112,J
63121,J
63122,J
63911,J
63912,J
63990,J
64110,K
64121,K
64122,K
64123,K
64131,K
64132,K
64141,K
64142,K
64143,K
64144,K
64145,K
64146,K
64147,K
64148,K
64151,K
64152,K
64190,K
64200,K
64300,K
64400,K
64500,K
64911,K
64912,K
64913,K
64921,K
64922,K
64923,K
64931,K
64932,K
64933,K
64941,K
64942,K
64943,K
64951,K
64952,K
64953,K
64991,K
64992,K
64999,K
65111,K
65112,K
65113,K
65121,K
65122,K
65123,K
65131,K
65132,K
65133,K
65211,K
65212,K
65213,K
65221,K
65222,K
65311,K
65312,K
65313,K
65321,K
65322,K
66111,K
66112,K
66113,K
66114,K
66115,K
66116,K
66117,K
66118,K
66119,K
66121,K
66122,K
66123,K
66124,K
66131,K
66132,K
66139,K
66141,K
66142,K
66143,K
66144,K
66145,K
66146,K
66147,K
66149,K
66151,K
66152,K
66153,K
66154,K
66159,K
66160,K
66171,K
66172,K
66173,K
66174,K
66179,K
66191,K
66192,K
66193,K
66194,K
66195,K
66199,K
66211,K
66212,K
66221,K
66222,K
66223,K
66224,K
66225,K
66226,K
66291,K
66292,K
66299,K
66311,K
66312,K
66321,K
66322,K
66390,K
66411,K
66412,K
66413,K
66420,K
68111,L
68112,L
68120,L
68130,L
68200,L
69101,M
69102,M
69103,M
69104,M
69109,M
69201,M
69202,M
70100,M
70201,M
70202,M
70203,M
70204,M
70209,M
71101,M
71102,M
71201,M
71202,M
71203,M
71204,M
71205,M
71206,M
71207,M
71208,M
71209,M
72101,M
72102,M
72103,M
72104,M
72105,M
72106,M
72107,M
72109,M
72201,M
72202,M
72203,M
72204,M
72205,M
72206,M
72209,M
73100,M
73201,M
73202,M
74111,M
74112,M
74113,M
74114,M
74115,M
74116,M
74117,M
74118,M
74119,M
74120,M
74130,M
74141,M
74142,M
74149,M
74201,M
74202,M
74311,M
74312,M
74321,M
74322,M
74901,M
74902,M
74909,M
75000,M
77100,N
77210,N
77220,N
77291,N
77292,N
77293,N
77294,N
77295,N
77299,N
77311,N
77312,N
77313,N
77319,N
77321,N
77322,N
77323,N
77329,N
77391,N
77392,N
77393,N
77394,N
77395,N
77399,N
77400,N
78101,N
78102,N
78103,N
78104,N
78200,N
78300,N
78411,N
78412,N
78413,N
78414,N
78415,N
78416,N
78417,N
78419,N
78421,N
78422,N
78423,N
78424,N
78425,N
78426,N
78427,N
78429,N
78431,N
78432,N
78433,N
78434,N
78435,N
78436,N
78437,N
78439,N
79111,N
79112,N
79119,N
79121,N
79122,N
79129,N
79911,N
79912,N
79921,N
79922,N
79990,N
80100,N
80200,N
80300,N
81100,N
81210,N
81290,N
81300,N
82110,N
82190,N
82200,N
82301,N
82302,N
82911,N
82912,N
82920,N
82990,N
84111,O
84112,O
84113,O
84114,O
84115,O
84119,O
84121,O
84122,O
84123,O
84124,O
84125,O
84126,O
84127,O
84129,O
84131,O
84132,O
84133,O
84134,O
84135,O
84136,O
84137,O
84138,O
84139,O
84210,O
84221,O
84222,O
84223,O
84224,O
84231,O
84232,O
84233,O
84234,O
84300,O
85111,P
85112,P
85121,P
85122,P
85131,P
85132,P
85133,P
85134,P
85135,P
85139,P
85141,P
85142,P
85143,P
85144,P
85151,P
85152,P
85153,P
85154,P
85155,P
85161,P
85162,P
85163,P
85210,P
85220,P
85230,P
85240,P
85251,P
85252,P
85261,P
85262,P
85263,P
85270,P
85311,P
85312,P
85321,P
85322,P
85331,P
85332,P
85340,P
85410,P
85420,P
85430,P
85440,P
85451,P
85452,P
85459,P
85491,P
85492,P
85493,P
85494,P
85495,P
85496,P
85497,P
85498,P
85499,P
85500,P
86101,Q
86102,Q
86103,Q
86104,Q
86105,Q
86109,Q
86201,Q
86202,Q
86203,Q
86901,Q
86902,Q
86903,Q
86904,Q
87100,Q
87201,Q
87202,Q
87203,Q
87301,Q
87302,Q
87303,Q
87304,Q
87305,Q
87901,Q
87902,Q
87903,Q
87904,Q
87905,Q
87906,Q
87907,Q
87909,Q
88101,Q
88102,Q
88911,Q
88919,Q
88991,Q
88992,Q
90011,R
90012,R
90021,R
90022,R
90023,R
90024,R
90025,R
90029,R
90030,R
90040,R
90090,R
91011,R
91012,R
91021,R
91022,R
91023,R
91024,R
91025,R
91029,R
91031,R
91032,R
91033,R
91034,R
91035,R
91036,R
91037,R
91038,R
91039,R
92000,R
93111,R
93112,R
93113,R
93114,R
93115,R
93116,R
93119,R
93121,R
93122,R
93123,R
93124,R
93125,R
93126,R
93127,R
93128,R
93129,R
93191,R
93192,R
93193,R
93194,R
93195,R
93199,R
93211,R
93219,R
93221,R
93222,R
93223,R
93224,R
93229,R
93231,R
93239,R
93241,R
93242,R
93243,R
93244,R
93245,R
93246,R
93249,R
93291,R
93292,R
93293,R
93294,R
93299,R
94110,S
94121,S
94122,S
94200,S
94910,S
94920,S
94990,S
95110,S
95120,S
95210,S
95220,S
95230,S
95240,S
95291,S
95299,S
96111,S
96112,S
96121,S
96122,S
96129,S
96200,S
96910,S
96990,S
97000,T
98100,T
98200,T
99000,U
